ID	100UNCULTURED_S7_PE_profile_genus	14UNCULTURED_S8_PE_profile_genus	18UNCULTURED_S12_PE_profile_genus	19UNCULTURED_S14_PE_profile_genus	24UNCULTURED_S3_PE_profile_genus	26UNCULTURED_S4_PE_profile_genus	28UNCULTURED_S6_PE_profile_genus	2UNCULTURED_S1_PE_profile_genus	300UNCULTURED_S9_PE_profile_genus	36UNCULTURED_S10_PE_profile_genus	400UNCULTURED_S11_PE_profile_genus	40UNCULTURED_S15_PE_profile_genus	4UNCULTURED_S2_PE_profile_genus	500UNCULTURED_S13_PE_profile_genus	8UNCULTURED_S5_PE_profile_genus	lucaAR31_S16_PE_profile_genus	lucaAR32_S17_PE_profile_genus	lucaAR33_S18_PE_profile_genus	lucaAR34_S19_PE_profile_genus
g__Olsenella	0.0515	0	0.03405	0.05847	0.01126	0	0	0.02237	0.2098	0	0.04424	0.15438	0	0.19009	0	0	0	0	0
g__Oscillibacter	0.08308	0.4631	0.64732	0.24433	0.57875	0.45974	0.11605	0.21569	0.06065	0.37776	0.10489	0.05369	0.14585	0.05305	0.30964	1.55499	1.15024	0.67917	1.24047
g__Oxalobacter	0	0	0	0	0	0	0	0	0	0.1686	0.03956	0	0	0	0	0	0	0.02122	0
g__Parabacteroides	2.13809	0	0.85892	0.1164	0.41736	0.34623	1.71392	0.44382	0.57163	0.37172	2.92091	0.21125	1.59023	0.64593	2.46793	5.01182	2.45108	0.59194	6.37331
g__Parasutterella	2.62502	0	0	0	0.01462	0	0	0	1.93093	0	3.60936	0	0	1.06531	0	0.00626	0.00562	0.45154	0.46
g__Peptostreptococcaceae_noname	0	0	1.27439	0	3.27251	0	0.34892	0	0.11673	0.5378	0	0.02741	0.36806	0.09315	1.28227	0	0.11084	0	0
g__Phascolarctobacterium	18.62708	20.79548	12.372	11.16879	20.70025	2.90287	21.48821	19.50745	18.92566	6.30106	15.1151	26.94564	2.94904	18.82479	26.89065	0	0	0	0
g__Porphyromonas	0	0	0	0	0	0	0	0	0	0.09615	0	0	0.13152	0	0	0	0	0	0
g__Potyvirus	0	0	0.02423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Prevotella	7.30146	1.36438	2.44675	13.22965	9.16702	24.78216	0.10957	11.71775	5.26447	2.12664	12.28896	9.10329	13.51235	27.84032	0.01682	0	0	0	0
g__Propionibacteriaceae_unclassified	0	0	0	0	0	0	0	0	0.07887	0	0	0	0	0	0	0	0	0	0
g__Propionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00026	0	0
g__Pseudoflavonifractor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00528	0	0	0
g__Pyramidobacter	0	0	0	0	0.23895	0	0	0	0	0	0	0.03749	0	0	0	0	0	0	0
g__Roseburia	0.96695	0.28016	0.43801	2.20948	1.49083	0.42369	1.12095	0.92446	0.50382	1.90385	0.88075	0.30788	0.958	0.98727	1.84271	0.88866	3.31547	1.79012	0.0324
g__Ruminococcaceae_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00539	0	0	1.0155
g__Ruminococcus	1.72722	5.51502	0.89312	3.62923	12.4398	4.79624	0.11562	7.01744	0.07824	1.45763	0.79621	3.94654	8.23387	0.12483	0.03487	1.8259	3.36829	2.43888	1.96402
g__Sphaerochaeta	0	0	0	0	0.0961	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Streptococcus	0	0	0	0	0	0.00295	0	0	0	0	0	0	0	0	0	0.00656	0.02198	0	0.02923
g__Subdoligranulum	17.20686	40.095	29.40055	14.74255	18.86758	7.69049	14.03368	29.30577	9.36072	31.06613	12.96396	11.29532	23.48469	5.61981	14.81794	17.20544	2.18764	10.38838	2.67199
g__Succinivibrionaceae_unclassified	0	0	0	0	0.38462	0	0	0.09655	0	0	0	0.2842	0	0	0	0	0	0	0
g__Sutterella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10619	1.23071	0	0
g__Sutterellaceae_unclassified	0	0	0.15005	0	0	0.03509	0	0.07349	0	0	0	0	0.305	0	0.05488	0.24229	0	0	0
g__Treponema	0.29492	0.79499	0.00182	3.41844	1.35788	2.52164	0	3.97901	0.00823	0	0.30955	13.85424	0.75782	0.02741	0	0	0	0	0
g__Veillonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06157	0	0.00358
g__Viruses_noname	0	0	0	0	0	0	0	0.17677	0	0	0	0	0	0	0	0	0	0	0
g__unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
